phrase	phrase_ipa	oronym	oronym_ipa	distance
so far Furthermore	soʊfɑɹfɝðɝmɔɹ	so + farr + furthermore	soʊfɑɹfɝðɝmɔɹ	0.0000
so far Furthermore	soʊfɑɹfɝðɝmɔɹ	so + pfarr + furthermore	soʊfɑɹfɝðɝmɔɹ	0.0000
also pianist	ɔɫsoʊpiɑnəst	all + so + pianist	ɔɫsoʊpiɑnəst	0.0000
also pianist	ɔɫsoʊpiɑnəst	all + sew + pianist	ɔɫsoʊpiɑnəst	0.0000
also pianist	ɔɫsoʊpiɑnəst	all + soapy + honest	ɔɫsoʊpiɑnəst	0.0000
also pianist	ɔɫsoʊpiɑnəst	all + sough + pianist	ɔɫsoʊpiɑnəst	0.0000
models theories and methods	mɑdəɫzθɪɹizəndmɛθədz	models' + theories + und + methods	mɑdəɫzθɪɹizəndmɛθədz	0.0000
models theories and methods	mɑdəɫzθɪɹizəndmɛθədz	models' + theory's + and + methods	mɑdəɫzθɪɹizəndmɛθədz	0.0000
models theories and methods	mɑdəɫzθɪɹizəndmɛθədz	models' + theory's + und + methods	mɑdəɫzθɪɹizəndmɛθədz	0.0000
models theories and methods	mɑdəɫzθɪɹizəndmɛθədz	models' + theories + and + methods	mɑdəɫzθɪɹizəndmɛθədz	0.0000
models theories and methods	mɑdəɫzθɪɹizəndmɛθədz	models' + theories + und + bethards	mɑdəɫzθɪɹizəndbɛθɝdz	0.0367
This creek has	ðɪskɹikhəz	this' + creak + has	ðɪskɹikhəz	0.0000
This creek has	ðɪskɹikhəz	this' + creek + has	ðɪskɹikhəz	0.0000
This creek has	ðɪskɹikhəz	this + creak + has	ðɪskɹikhəz	0.0000
This creek has	ðɪskɹikhəz	discreet + has	dɪskɹithəz	0.1000
northwest of the	nɔɹθwɛstəvðə	north + west + of + the	nɔɹθwɛstəvðə	0.0000
lit The	ɫɪtðə	litt + the	ɫɪtðə	0.0000
to damage	tudæmədʒ	tue + damage	tudæmədʒ	0.0000
to damage	tudæmədʒ	tew + damage	tudæmədʒ	0.0000
to damage	tudæmədʒ	too + damage	tudæmədʒ	0.0000
to damage	tudæmədʒ	thuy + damage	tudæmədʒ	0.0000
to damage	tudæmədʒ	two + damage	tudæmədʒ	0.0000
by Francis The December	baɪfɹænsəsðədɪsɛmbɝ	bae + francis + the + december	baɪfɹænsəsðədɪsɛmbɝ	0.0000
by Francis The December	baɪfɹænsəsðədɪsɛmbɝ	bi + francis + the + december	baɪfɹænsəsðədɪsɛmbɝ	0.0000
by Francis The December	baɪfɹænsəsðədɪsɛmbɝ	bae + francis' + the + december	baɪfɹænsəsðədɪsɛmbɝ	0.0000
with the outside wall	wɪθðəaʊtsaɪdwɔɫ	withe + the + outside + wahle	wɪθðəaʊtsaɪdwɔɫ	0.0000
with the outside wall	wɪθðəaʊtsaɪdwɔɫ	withe + the + outside + wal	wɪθðəaʊtsaɪdwɔɫ	0.0000
with the outside wall	wɪθðəaʊtsaɪdwɔɫ	withe + the + outside + wall	wɪθðəaʊtsaɪdwɔɫ	0.0000
with the outside wall	wɪθðəaʊtsaɪdwɔɫ	withe + the + outside + walle	wɪθðəaʊtsaɪdwɔɫ	0.0000
with the outside wall	wɪθðəaʊtsaɪdwɔɫ	with + the + outside + wahle	wɪθðəaʊtsaɪdwɔɫ	0.0000
the Romance	ðəɹoʊmæns	the + reaux + mance	ðəɹoʊmæns	0.0000
the Romance	ðəɹoʊmæns	the + rhome + anse	ðəɹoʊmæns	0.0000
the Romance	ðəɹoʊmæns	the + roehm + anse	ðəɹoʊmæns	0.0000
the Romance	ðəɹoʊmæns	the + rheault + mance	ðəɹoʊmæns	0.0000
in Hampton Virginia on	ɪnhæmptənvɝdʒɪnjəɔn	in + hampton + virginia + aune	ɪnhæmptənvɝdʒɪnjəɔn	0.0000
in Hampton Virginia on	ɪnhæmptənvɝdʒɪnjəɔn	in + hampton + virginians	ɪnhæmptənvɝdʒɪnjənz	0.0741
in Hampton Virginia on	ɪnhæmptənvɝdʒɪnjəɔn	in + hampe + tonne + virginians	ɪnhæmptənvɝdʒɪnjənz	0.0741
in Hampton Virginia on	ɪnhæmptənvɝdʒɪnjəɔn	in + hampe + ton + virginians	ɪnhæmptənvɝdʒɪnjənz	0.0741
brothers and Albert Yorke	bɹəðɝzəndæɫbɝtjɔɹk	brothers' + and + albert + york	bɹəðɝzəndæɫbɝtjɔɹk	0.0000
brothers and Albert Yorke	bɹəðɝzəndæɫbɝtjɔɹk	brothers' + and + albert + yorke	bɹəðɝzəndæɫbɝtjɔɹk	0.0000
brothers and Albert Yorke	bɹəðɝzəndæɫbɝtjɔɹk	brother's + and + albert + york	bɹəðɝzəndæɫbɝtjɔɹk	0.0000
brothers and Albert Yorke	bɹəðɝzəndæɫbɝtjɔɹk	brother's + and + albert + yorke	bɹəðɝzəndæɫbɝtjɔɹk	0.0000
brothers and Albert Yorke	bɹəðɝzəndæɫbɝtjɔɹk	brothers' + 'n + dalbert + york	bɹəðɝzəndæɫbɝtjɔɹk	0.0000
sports video game developed	spɔɹtsvɪdioʊɡeɪmdɪvɛɫəpt	sports + videogame + developed	spɔɹtsvɪdioʊɡeɪmdɪvɛɫəpt	0.0000
sports video game developed	spɔɹtsvɪdioʊɡeɪmdɪvɛɫəpt	sport's + videogame + developed	spɔɹtsvɪdioʊɡeɪmdɪvɛɫəpt	0.0000
sports video game developed	spɔɹtsvɪdioʊɡeɪmdɪvɛɫəpt	sports' + videogame + developed	spɔɹtsvɪdioʊɡeɪmdɪvɛɫəpt	0.0000
sports video game developed	spɔɹtsvɪdioʊɡeɪmdɪvɛɫəpt	sport's + video + game + developed	spɔɹtsvɪdioʊɡeɪmdɪvɛɫəpt	0.0000
celebrate the tenth anniversary	sɛɫəbɹeɪtðətɛnθænəvɝsɝi	celebrate + the + tenth + anniversaries	sɛɫəbɹeɪtðətɛnθænəvɝsɝiz	0.0417
through debates	θɹudəbeɪts	threw + debate's	θɹudəbeɪts	0.0000
through debates	θɹudəbeɪts	threw + debates	θɹudəbeɪts	0.0000
through debates	θɹudəbeɪts	through + debate's	θɹudəbeɪts	0.0000
through debates	θɹudəbeɪts	thru + debate's	θɹudəbeɪts	0.0000
the Marmon	ðəmɑɹmən	the + marr + mun	ðəmɑɹmən	0.0000
the Marmon	ðəmɑɹmən	the + marr + munn	ðəmɑɹmən	0.0000
the Marmon	ðəmɑɹmən	the + mar + mun	ðəmɑɹmən	0.0000
the Marmon	ðəmɑɹmən	the + mar + munn	ðəmɑɹmən	0.0000
July was	dʒəɫaɪwɑz	july + waas	dʒəɫaɪwɑz	0.0000
July was	dʒəɫaɪwɑz	july + wah's	dʒəɫaɪwɑz	0.0000
Africa born	æfɹɪkəbɔɹn	africa + borne	æfɹɪkəbɔɹn	0.0000
Africa born	æfɹɪkəbɔɹn	africa + bourn	æfɹɪkəbɔɹn	0.0000
Africa born	æfɹɪkəbɔɹn	africa + bourne	æfɹɪkəbɔɹn	0.0000
Africa born	æfɹɪkəbɔɹn	africa + board	æfɹɪkəbɔɹd	0.0333
and college campuses	əndkɑɫɪdʒkæmpəsəz	and + colledge + campuses	əndkɑɫɪdʒkæmpəsəz	0.0000
walnut trees the six	wɔɫnəttɹizðəsɪks	walnut + trease + the + six	wɔɫnəttɹizðəsɪks	0.0000
walnut trees the six	wɔɫnəttɹizðəsɪks	walnut + trease + the + seeks	wɔɫnəttɹizðəsiks	0.0156
walnut trees the six	wɔɫnəttɹizðəsɪks	walnut + trease + the + seix	wɔɫnəttɹizðəsiks	0.0156
walnut trees the six	wɔɫnəttɹizðəsɪks	walnut + trease + the + sikhs	wɔɫnəttɹizðəsiks	0.0156
walnut trees the six	wɔɫnəttɹizðəsɪks	walnut + trease + the + hicks	wɔɫnəttɹizðəhɪks	0.0208
rods bearing his name	ɹɑdzbɛɹɪŋhɪzneɪm	rods + baring + his + name	ɹɑdzbɛɹɪŋhɪzneɪm	0.0000
rods bearing his name	ɹɑdzbɛɹɪŋhɪzneɪm	rods + behring + his + name	ɹɑdzbɛɹɪŋhɪzneɪm	0.0000
rods bearing his name	ɹɑdzbɛɹɪŋhɪzneɪm	rods + bering + his + name	ɹɑdzbɛɹɪŋhɪzneɪm	0.0000
rods bearing his name	ɹɑdzbɛɹɪŋhɪzneɪm	rods + baring + his + dame	ɹɑdzbɛɹɪŋhɪzdeɪm	0.0208
Gang and started his	ɡæŋəndstɑɹtɪdhɪz	gang + und + started + his	ɡæŋəndstɑɹtɪdhɪz	0.0000
Gang and started his	ɡæŋəndstɑɹtɪdhɪz	gang + und + started + he's	ɡæŋəndstɑɹtɪdhiz	0.0156
Gang and started his	ɡæŋəndstɑɹtɪdhɪz	gang + und + started + hees	ɡæŋəndstɑɹtɪdhiz	0.0156
Gang and started his	ɡæŋəndstɑɹtɪdhɪz	gang + und + started + heese	ɡæŋəndstɑɹtɪdhiz	0.0156
was served	wɑzsɝvd	wah's + served	wɑzsɝvd	0.0000
was served	wɑzsɝvd	waas + served	wɑzsɝvd	0.0000
by Giorgio Bianchi	baɪdʒɔɹdʒioʊbiɑntʃi	bae + georgio + bianchi	baɪdʒɔɹdʒioʊbiɑntʃi	0.0000
by Giorgio Bianchi	baɪdʒɔɹdʒioʊbiɑntʃi	bae + giorgio + bianchi	baɪdʒɔɹdʒioʊbiɑntʃi	0.0000
by Giorgio Bianchi	baɪdʒɔɹdʒioʊbiɑntʃi	bi + georgio + bianchi	baɪdʒɔɹdʒioʊbiɑntʃi	0.0000
by Giorgio Bianchi	baɪdʒɔɹdʒioʊbiɑntʃi	bae + georgie + o + bianchi	baɪdʒɔɹdʒioʊbiɑntʃi	0.0000
by Giorgio Bianchi	baɪdʒɔɹdʒioʊbiɑntʃi	bae + georgie + au + bianchi	baɪdʒɔɹdʒioʊbiɑntʃi	0.0000
of enclosed religious	əvɪnkɫoʊzdɹɪɫɪdʒəs	of + in. + closed + religious	əvɪnkɫoʊzdɹɪɫɪdʒəs	0.0000
of enclosed religious	əvɪnkɫoʊzdɹɪɫɪdʒəs	of + in + closed + religious	əvɪnkɫoʊzdɹɪɫɪdʒəs	0.0000
of enclosed religious	əvɪnkɫoʊzdɹɪɫɪdʒəs	of + enclosed + religion	əvɪnkɫoʊzdɹɪɫɪdʒən	0.0392
of enclosed religious	əvɪnkɫoʊzdɹɪɫɪdʒəs	of + enclosed + delicious	əvɪnkɫoʊzddɪɫɪʃəs	0.0588
railroad ties can still	ɹeɪɫɹoʊdtaɪzkænstɪɫ	rael + rhoad + thai's + catskill	ɹeɪɫɹoʊdtaɪzkætskɪɫ	0.0556
railroad ties can still	ɹeɪɫɹoʊdtaɪzkænstɪɫ	rael + rhoad + thais + catskill	ɹeɪɫɹoʊdtaɪzkætskɪɫ	0.0556
railroad ties can still	ɹeɪɫɹoʊdtaɪzkænstɪɫ	rael + rhoad + ties + catskill	ɹeɪɫɹoʊdtaɪzkætskɪɫ	0.0556
cyclist physical therapist and	saɪkɫɪstfɪzɪkəɫθɛɹəpɪstənd	cyclist + physical + therapist + und	saɪkɫɪstfɪzɪkəɫθɛɹəpɪstənd	0.0000
cyclist physical therapist and	saɪkɫɪstfɪzɪkəɫθɛɹəpɪstənd	cyclist + physical + thera + pistons	saɪkɫɪstfɪzɪkəɫθɛɹəpɪstənz	0.0133
cyclist physical therapist and	saɪkɫɪstfɪzɪkəɫθɛɹəpɪstənd	cyclist + physical + thera + pistols	saɪkɫɪstfɪzɪkəɫθɛɹəpɪstəɫz	0.0333
cyclist physical therapist and	saɪkɫɪstfɪzɪkəɫθɛɹəpɪstənd	cyclist + physical + thera + hiestand	saɪkɫɪstfɪzɪkəɫθɛɹəhistənd	0.0400
was second	wɑzsɛkənd	waas + second	wɑzsɛkənd	0.0000
was second	wɑzsɛkənd	wah's + second	wɑzsɛkənd	0.0000
was second	wɑzsɛkənd	was + sec + and	wɑzsɛkənd	0.0000
was second	wɑzsɛkənd	was + sec + und	wɑzsɛkənd	0.0000
Ringer points	ɹɪŋɝpɔɪnts	ringer + point's	ɹɪŋɝpɔɪnts	0.0000
Ringer points	ɹɪŋɝpɔɪnts	wringer + point's	ɹɪŋɝpɔɪnts	0.0000
Ringer points	ɹɪŋɝpɔɪnts	wringer + points	ɹɪŋɝpɔɪnts	0.0000
Ringer points	ɹɪŋɝpɔɪnts	ringer + pints	ɹɪŋɝpaɪnts	0.0370
Canonical ring	kənɑnəkəɫɹɪŋ	canonical + ringe	kənɑnəkəɫɹɪŋ	0.0000
Canonical ring	kənɑnəkəɫɹɪŋ	canonical + wring	kənɑnəkəɫɹɪŋ	0.0000
Canonical ring	kənɑnəkəɫɹɪŋ	canonic + uhl + ring	kənɑnəkəɫɹɪŋ	0.0000
Canonical ring	kənɑnəkəɫɹɪŋ	canonic + uhl + ringe	kənɑnəkəɫɹɪŋ	0.0000
included in	ɪnkɫudədɪn	include + adin	ɪnkɫudədɪn	0.0000
included in	ɪnkɫudədɪn	include + uddin	ɪnkɫudədɪn	0.0000
included in	ɪnkɫudədɪn	included + in.	ɪnkɫudədɪn	0.0000
included in	ɪnkɫudədɪn	included + inn	ɪnkɫudədɪn	0.0000
rights renaming it	ɹaɪtsɹineɪmɪŋɪt	reits + renaming + it	ɹaɪtsɹineɪmɪŋɪt	0.0000
rights renaming it	ɹaɪtsɹineɪmɪŋɪt	reits + rhee + naming + it	ɹaɪtsɹineɪmɪŋɪt	0.0000
rights renaming it	ɹaɪtsɹineɪmɪŋɪt	reits + ree + naming + it	ɹaɪtsɹineɪmɪŋɪt	0.0000
rights renaming it	ɹaɪtsɹineɪmɪŋɪt	reits + renaming + eat	ɹaɪtsɹineɪmɪŋit	0.0179
Bang Made Big Bang	bæŋmeɪdbɪɡbæŋ	bang + maid + big + bang	bæŋmeɪdbɪɡbæŋ	0.0000
Bang Made Big Bang	bæŋmeɪdbɪɡbæŋ	bang + mayde + big + bang	bæŋmeɪdbɪɡbæŋ	0.0000
Bang Made Big Bang	bæŋmeɪdbɪɡbæŋ	bang + maid + big + bag	bæŋmeɪdbɪɡbæɡ	0.0256
Bang Made Big Bang	bæŋmeɪdbɪɡbæŋ	bang + maid + big + bagg	bæŋmeɪdbɪɡbæɡ	0.0256
on social	ɔnsoʊʃəɫ	aune + social	ɔnsoʊʃəɫ	0.0000
on social	ɔnsoʊʃəɫ	on + sew + shull	ɔnsoʊʃəɫ	0.0000
on social	ɔnsoʊʃəɫ	aune + so + shull	ɔnsoʊʃəɫ	0.0000
on social	ɔnsoʊʃəɫ	aune + sough + shull	ɔnsoʊʃəɫ	0.0000
universities It was formed	junəvɝsətizɪtwɑzfɔɹmd	universities + it + wah's + formed	junəvɝsətizɪtwɑzfɔɹmd	0.0000
universities It was formed	junəvɝsətizɪtwɑzfɔɹmd	universities + it + waas + formed	junəvɝsətizɪtwɑzfɔɹmd	0.0000
universities It was formed	junəvɝsətizɪtwɑzfɔɹmd	universities + it + was + form's	junəvɝsətizɪtwɑzfɔɹmz	0.0159
universities It was formed	junəvɝsətizɪtwɑzfɔɹmd	universities + it + was + forbes	junəvɝsətizɪtwɑzfɔɹbz	0.0317
Hampton University Museum	hæmptənjunəvɝsətimjuziəm	hampton + university + musee + 'em	hæmptənjunəvɝsətimjuziəm	0.0000
Hampton University Museum	hæmptənjunəvɝsətimjuziəm	hampton + university + musee + 'm	hæmptənjunəvɝsətimjuziəm	0.0000
Hampton University Museum	hæmptənjunəvɝsətimjuziəm	hampton + university + musee + um	hæmptənjunəvɝsətimjuziəm	0.0000
Hampton University Museum	hæmptənjunəvɝsətimjuziəm	hampton + university + musee + umm	hæmptənjunəvɝsətimjuziəm	0.0000
screenplay by ric	skɹinpɫeɪbaɪɹɪk	screenplay + buy + ric	skɹinpɫeɪbaɪɹɪk	0.0000
screenplay by ric	skɹinpɫeɪbaɪɹɪk	screenplay + buy + rick	skɹinpɫeɪbaɪɹɪk	0.0000
screenplay by ric	skɹinpɫeɪbaɪɹɪk	screenplay + buy + ricke	skɹinpɫeɪbaɪɹɪk	0.0000
screenplay by ric	skɹinpɫeɪbaɪɹɪk	screenplay + bi + ric	skɹinpɫeɪbaɪɹɪk	0.0000
screenplay by ric	skɹinpɫeɪbaɪɹɪk	screenplay + bi + rick	skɹinpɫeɪbaɪɹɪk	0.0000
for developing	fɹɝdɪvɛɫəpɪŋ	for + develop + ing	fɹɝdɪvɛɫəpɪŋ	0.0000
for developing	fɹɝdɪvɛɫəpɪŋ	for + develop + ng	fɹɝdɪvɛɫəpɪŋ	0.0000
manga magazine Weekly	mæŋɡəmæɡəzinwikɫi	manga + magazine + weakley	mæŋɡəmæɡəzinwikɫi	0.0000
manga magazine Weekly	mæŋɡəmæɡəzinwikɫi	manga + magazine + weakly	mæŋɡəmæɡəzinwikɫi	0.0000
manga magazine Weekly	mæŋɡəmæɡəzinwikɫi	manga + magazine + weekley	mæŋɡəmæɡəzinwikɫi	0.0000
manga magazine Weekly	mæŋɡəmæɡəzinwikɫi	manga + magazine + wii + klee	mæŋɡəmæɡəzinwikɫi	0.0000
grounds were developed to	ɡɹaʊnzwɝdɪvɛɫəpttu	grounds + were + developed + tew	ɡɹaʊnzwɝdɪvɛɫəpttu	0.0000
grounds were developed to	ɡɹaʊnzwɝdɪvɛɫəpttu	grounds + were + developed + thuy	ɡɹaʊnzwɝdɪvɛɫəpttu	0.0000
grounds were developed to	ɡɹaʊnzwɝdɪvɛɫəpttu	grounds + were + developed + too	ɡɹaʊnzwɝdɪvɛɫəpttu	0.0000
grounds were developed to	ɡɹaʊnzwɝdɪvɛɫəpttu	grounds + were + developed + tu	ɡɹaʊnzwɝdɪvɛɫəpttu	0.0000
and written	əndɹɪtən	and + ryton	əndɹɪtən	0.0000
and written	əndɹɪtən	und + ryton	əndɹɪtən	0.0000
and written	əndɹɪtən	und + written	əndɹɪtən	0.0000
and written	əndɹɪtən	and + writ + 'n	əndɹɪtən	0.0000
terminology used in	tɝmɪnɑɫədʒijuzdɪn	terminology + ewe + zlin	tɝmɪnɑɫədʒijuzɫɪn	0.0312
of the Alabama Gang	əvðəæɫəbæməɡæŋ	of + the + al. + gang	əvðəæɫəbæməɡæŋ	0.0000
of the Alabama Gang	əvðəæɫəbæməɡæŋ	of + the + al. + dang	əvðəæɫəbæmədæŋ	0.0238
of the Alabama Gang	əvðəæɫəbæməɡæŋ	of + the + al. + gag	əvðəæɫəbæməɡæɡ	0.0238
of the Alabama Gang	əvðəæɫəbæməɡæŋ	of + the + al. + gahn	əvðəæɫəbæməɡæn	0.0238
without requiring	wɪθaʊtɹikwaɪɹɪŋ	without + reick + wiring	wɪθaʊtɹikwaɪɹɪŋ	0.0000
